Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Spectral Entropy,Mean Coherence,BOLD Mean,BOLD Variance,ALFF Mean,ALFF Variance,Task
-0.5440227686592473,-1.125716720071448,-0.888771716936663,-0.8116332762388481,-1.0413060531086287,5.77704658745531,3.177119404022875,-1.3731001363502178,-1.3458772981737301,-0.6082284280047305,-0.5004122613370078,0
-0.3036427950646096,-0.1977269108621104,0.17478101459150058,0.19758161705665778,-0.6338344670116465,2.096049820799777,3.892649400551302,-1.308523640921775,-1.3427807613317948,-0.515233223395659,-0.4682887434259,1
-0.030839799744627302,-0.625382007287199,-0.4576822337009313,-0.4998250983439646,-0.9126768004490607,2.0466376080144895,3.7524371555784017,-1.408758899503998,-1.4226291413393652,-0.5109638887360717,-0.44840738374001304,0
-0.2280879448387757,-0.4903853095172822,-0.26836493468344336,-0.2834100574753988,-0.8235378290455143,2.0016838987586367,3.5756380193017736,-1.3744218987607562,-1.389168073702178,-0.4564946315144911,-0.4329133819302532,1
-0.434600748674371,-0.44510667636828277,-0.0746321923220037,-0.0420627769392379,-0.7206370251362701,1.8511492259549391,3.465212908371432,-1.309980350611952,-1.3339156983560794,-0.6468353340389883,-0.5148905026694429,1
-0.20310094542859145,-0.22054989207604464,0.39271573334349913,1.2489130014178769,0.8777076596633533,-2.325733783069506,-0.7650814686041212,-0.4388154877845861,-0.008383334875757844,-0.6668729451908789,-0.4873835264696637,0
-0.155559952934705,-0.3027067363714549,0.28238396700386903,1.1070626462461572,0.7484524438174773,-2.3881827693353137,-0.22032179047624792,-0.4436423874018087,-0.0749687862457,-0.32403352945557373,-0.38012541581835535,0
-0.27553303582680105,-0.13760051757221498,0.14956603292334703,1.0313457603268819,0.8398469734290424,0.7857723274000151,-0.8506216533247267,-0.8962438509007276,-1.2314760454825266,-0.16187620166980596,-0.31371419840780107,1
-0.14679577604275088,0.4719785503605098,0.7655196589981975,1.7586389165460767,1.4670917752244763,-0.07396780012952159,-0.492840686032061,-0.883977753147854,-1.2472135081022648,-0.35100465372544865,-0.44848648583291956,1
-0.031237788829394826,0.98984189651509,1.4755841380313226,2.6374179887440055,2.242093470907581,-0.07396780012952159,-0.9584939525609351,-0.8736686096012797,-1.2767892741092217,-0.18917741073822464,-0.3749163853616195,0
-0.21406014131483958,-0.779008641290258,-0.9489498562127736,-0.8263013796340788,-0.8278114939761918,0.6307539961415232,0.05946059499723082,-0.919263651972563,-1.2886046262401203,1.0007259211216626,0.41060725181093394,1
0.39118475620796206,0.9760622615320187,1.072516515339295,2.0937285173894837,1.769047180445319,-0.07396780012952159,-0.7649639482601236,-0.8726113357297652,-1.2659225762378656,0.3634953063018345,-0.025121150374897216,0
