Task,Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Spectral Entropy,Mean Coherence,BOLD Mean,BOLD Variance,ALFF Mean,ALFF Variance
rest,4.3918574236084927e-10,1.258917321591847e-10,1.0744768002876283e-10,1.1982121675356984e-09,4.925626925070072e-10,4.275639635242159,0.1454583196010101,129.37330692744754,51522.24589629301,2.16347659730922,27.17831039083203
sleep,7.361486791671033e-10,3.8924798596704527e-10,5.808953385655055e-10,8.893066100435359e-09,1.277156559086862e-09,4.115725368160154,0.1701771851029536,130.4297821657509,51564.942519859535,2.253614123924181,29.29388214622664
rest,1.0731666821575652e-09,2.6788281255818034e-10,2.9935006569093237e-10,3.5756229647049207e-09,7.402406316392517e-10,4.113578743674081,0.1653333803120625,128.78992747877123,50463.95247917616,2.257752264897411,30.603217043067424
sleep,8.29488360828175e-10,3.061938201234556e-10,3.836259358789039e-10,5.2256998110030235e-09,9.118793240604055e-10,4.1116258108344255,0.1592256362738178,129.35168281718282,50925.330683914726,2.3105477197076523,31.62361190447289
sleep,5.743645757722294e-10,3.1904354227053465e-10,4.698673703972795e-10,7.0658748650631236e-09,1.1100166724499286e-09,4.105086103413355,0.1554108647361219,130.40595031010656,51687.178513193,2.126056054660672,26.224810885720384
rest,8.603570418412509e-10,3.827710023045307e-10,6.779104458077597e-10,1.6909041183121743e-08,4.187658106019286e-09,3.923628952696458,0.0092701323483468,144.65825836663336,69964.29234639744,2.106634185370784,28.036349151410835
rest,9.190886929790291e-10,3.594555321090664e-10,6.287955172412511e-10,1.5827489800331442e-08,3.938774863515127e-09,3.92091596909398,0.0280895267550912,144.57929000686812,69046.17830568975,2.4389383841776566,35.10009073970167
sleep,7.708751854202956e-10,4.06311386377979e-10,5.696707197225064e-10,1.5250179277792163e-08,4.1147566738274605e-09,4.058802725106206,0.0063150412531043,137.17470361929736,53099.66850452596,2.596112730000589,39.47376164909349
sleep,9.299158665975483e-10,5.793051608109434e-10,8.438666231201104e-10,2.0795494394208707e-08,5.3225278194102645e-09,,0.0186750256738431,137.37537769522146,52882.67237250279,2.412796063808224,30.59800758394129
rest,1.0726750105525558e-09,7.262707303400676e-10,1.1599566062893583e-09,2.7495828133608014e-08,6.814807521281861e-09,,0.0025884597412986,137.54403588598902,52474.866681064166,2.569650468109021,35.44314400484391
sleep,8.468181644266814e-10,2.2428477471913532e-10,8.065897619605765e-11,1.086373832758051e-09,9.036503053831891e-10,4.052068233228344,0.0377549540465899,136.79809832875458,52311.95060158888,3.7229888977154073,87.1756978489066
rest,1.594531460037847e-09,7.223601776465274e-10,9.805283404982342e-10,2.3350416591704137e-08,5.9039483822185884e-09,,0.0092741922334545,137.5613329483017,52624.702233524265,3.105339936732455,58.47975292660971
sleep,6.46336285109609e-10,3.4939132002362837e-10,4.6421949450346447e-10,1.2798815114603396e-08,3.526165916888502e-09,4.041712334180004,0.0090709830541305,137.19265641650017,53003.71214893755,2.4649348277984457,35.74213251208839
sleep,6.723537290847341e-10,2.3938529342753727e-10,1.741185559561247e-10,5.278149153239469e-09,1.6845536703694972e-09,4.043704613376375,0.0722065018038553,137.60561586330337,52506.88367918481,3.092925621073656,57.40271541574032
sleep,5.487713513483255e-10,2.6197846089636256e-10,2.77234432411743e-10,8.227701210600013e-09,2.382371850749436e-09,4.035005998459615,0.0186292996124581,137.22426413170163,52912.58215209024,2.358781143709411,33.121470075156815
sleep,7.481902030417781e-10,2.3638721230304725e-10,1.1275850046509359e-10,2.964933567834506e-09,1.2095821910985462e-09,4.051141173069302,0.019946927890934,137.01511529095905,52164.21567821493,3.222501936069788,62.01961066424199
sleep,9.300988073880551e-10,5.217555342904137e-10,6.984232304593011e-10,1.7696421328788313e-08,4.6550890450851554e-09,4.108200543051167,0.0084034434134233,137.05112004662004,52997.627829672616,2.551112215172353,37.21627677226159
sleep,7.014031766420096e-10,3.5570101293522416e-10,4.707996671859992e-10,5.4175673907607105e-09,2.646525139551105e-09,3.9558274097551616,-0.0140201813434111,179.11986792374293,98781.23431551788,2.4225345583543567,41.86545837535908
sleep,9.070513996154615e-10,4.566256045463515e-10,6.244108203871162e-10,7.630693311474915e-09,3.383270828064866e-09,3.955637342824196,-0.0185544551810628,177.90866677072927,97401.69295883576,3.4125758344353843,77.37504824344866
sleep,9.871339328210255e-10,5.256385134637321e-10,7.05619742564508e-10,8.835339681559497e-09,3.780597303324297e-09,3.9548281886004015,-0.0136441261769988,177.57126571345322,97195.85806145384,3.0980146553520784,66.56244700577074
sleep,7.270103435367098e-10,3.2731077924429006e-10,4.112822886973145e-10,4.549090736089723e-09,2.3704038053194835e-09,3.959056051894669,-0.0173657507513913,179.95657617382616,99597.79815275008,2.1345835173428727,30.48740831984528
sleep,6.450356119903814e-10,2.5461782094391886e-10,2.791519235360585e-10,2.6943745605143303e-09,1.7339559819705495e-09,3.959260481487087,-0.0174755866900552,179.15712966200465,99541.50563346746,2.1604710370701694,33.3586457441798
sleep,7.975369814985231e-10,4.0297808553671375e-10,5.37054398911985e-10,6.442517551493826e-09,2.973064776633294e-09,3.95549716462459,-0.0152763059627907,178.93110687229438,98485.37994675216,2.2223110524947365,28.533038655937105
rest,7.158617479668853e-10,1.954940385470664e-10,1.7771362126791182e-10,1.465678908570996e-09,1.2235710274938903e-09,3.9604180639540334,0.0053193275716764,178.81975621253747,99460.29393122678,2.4250090338226578,45.84973716144852
sleep,6.010271073839145e-10,2.6694675405715525e-10,3.2325126350939267e-10,3.3095887744749032e-09,1.9764449938829582e-09,3.956626767997969,-0.0173264582609164,179.33255042873793,99326.0942489153,2.139013868509799,30.80173912363711
rest,6.167504678222661e-10,2.0832174410600468e-10,2.2846538046434687e-10,2.006013477209197e-09,1.534039870229563e-09,3.958385265753292,-0.0189453348311321,178.76318241133865,99142.78835152696,2.626492289277098,54.841443510919
sleep,5.292991377855523e-10,9.859997022294288e-11,3.654840632462029e-11,3.633027142216585e-10,6.712857546014441e-10,3.961492976839547,-0.009958499082084,164.10856521603395,84153.2861681289,2.357298961463819,38.13098324944376
sleep,5.62122529872176e-10,1.0662672124604796e-10,3.5698868168498315e-11,4.403513360837327e-10,6.57736285116318e-10,3.961884313846494,-0.0182968943892146,164.06940913253413,84374.7573355942,2.1001252776790347,27.61328821391525
sleep,7.417966582112793e-10,2.2655826827647638e-10,2.0104818234973144e-10,1.515274611849308e-09,1.2007590826036175e-09,3.966159850674803,-0.0146403863020183,164.21745828130204,83629.55764520248,2.5917960066041807,42.976556688636734
sleep,5.387185070746563e-10,9.595167213109524e-11,3.511019733087938e-11,8.657532617649753e-10,7.084795756936544e-10,3.962364790054302,-0.0163663213950602,164.01892201548452,84393.04374639454,2.2950050587219657,37.11089278626108
sleep,6.665585496027798e-10,1.6724465894545262e-10,1.111104065998644e-10,6.828736746135103e-10,8.64940389059921e-10,3.964383576836743,-0.0022491368860446,164.10903122918748,83870.09527256194,2.544070671605415,47.05793004042635
sleep,7.023841724652824e-10,1.6615988073764168e-10,1.1637557263229831e-10,7.791118977553064e-10,8.87094188966083e-10,3.9639104493319177,-0.0058327497726989,164.20642576173827,83468.38712629174,2.445578667523571,48.1252541947672
rest,6.321513407221981e-10,1.3439815270816128e-10,5.124981341570344e-11,1.075354387107731e-09,7.119861977407296e-10,3.965410003002288,-0.0198539043627313,163.61744386863137,84088.60541906944,2.001337412773932,24.34994720080953
rest,5.236017947661825e-10,8.089920678738996e-11,3.747638334628024e-11,1.1868263532856892e-09,7.975196557446799e-10,3.961377022482989,-0.0053412597267767,163.35649064997503,84912.95865085175,2.240187471894552,31.822940958494616
rest,6.166204830115686e-10,8.296956844803789e-11,4.172398662001317e-11,3.9407532470677637e-10,7.58350640536453e-10,3.972463226763447,-0.0079135865043154,139.0586672546204,67938.02626923897,2.7798635816984647,48.853794182642666
sleep,6.677236303772831e-10,2.2443398545027472e-10,2.408637186380198e-10,1.5108735490619971e-09,1.2013010502195988e-09,3.9736276731806406,0.0179650288342045,139.21742786380287,68089.78462720121,3.1173100807246,95.15025880016456
sleep,6.297424742038578e-10,1.7303710913167967e-10,1.3489553369019952e-10,4.2950056568580785e-10,7.669947601278091e-10,3.9733190425583,0.0807980333231364,139.5524319222444,68320.48109991956,2.1912673089488046,30.962310000507525
rest,3.696165813301928e-10,6.947752930883149e-11,4.754832274114349e-11,1.488647603432026e-09,1.029556917307975e-09,3.9666388609838585,-0.0128117268950753,138.90235867257744,67700.13848936684,1.8276665887241683,16.049844861456904
sleep,5.814309182787656e-10,1.0644230242342544e-10,6.913610527083037e-11,1.1371198464429452e-10,7.13890905981798e-10,3.969195210274406,0.0221319732097147,139.49920549242424,68282.88356028683,2.3727257472420686,43.35746359189852
sleep,1.094037880303813e-09,3.2651874099767856e-10,3.769514160455351e-10,3.064275224568521e-09,1.600032134664064e-09,3.9819772905122055,0.0429398859674264,138.8437674512987,67989.00963061239,4.693664037158603,203.6222366421508
sleep,6.73471668337368e-10,1.0887649577215847e-10,5.5932285471384816e-11,2.032875791723029e-09,1.4572434980908275e-09,4.034714268934443,0.0148700705179493,146.25907077297703,61837.91102959323,2.5332474483677005,37.45784283241814
sleep,9.246763914648463e-10,2.3441913823871777e-10,2.5214333057978456e-10,8.152933585233788e-09,2.819271145096713e-09,4.031575066690107,0.0515869614094866,145.71260616466867,61938.67050204052,2.644086550794665,43.4607566233062
sleep,6.425211171730022e-10,1.5929640854895048e-10,6.293483136079784e-11,1.353376002845061e-09,1.3227199117762744e-09,4.036513143276976,0.0088176674115951,145.1407196657509,60900.356834141625,2.68143597970099,42.13426009040931
sleep,6.302996576128205e-10,1.2698194202285912e-10,1.0867760105457917e-10,4.4513164089178784e-09,1.99046793718131e-09,4.0299824501596895,0.0328610955184102,146.11770436854812,61910.92005130753,2.64072606992458,38.88653711162094
rest,1.4909088079943702e-09,4.927413072516683e-10,5.86720091761444e-10,1.5812675525555723e-08,4.579289924555074e-09,4.031199653916586,0.0496409456752013,146.5930044486763,62577.809259232345,3.3655905927538474,68.28414155472943
sleep,5.648404235903757e-10,1.389859152451035e-10,8.824349822587742e-11,1.2262304521272494e-09,1.3393050459948708e-09,4.0445734767138894,0.0098379906851655,145.50428475690975,61064.99757821064,2.371935396435904,28.32456980474944
rest,2.311368976458945e-09,1.15561577192892e-09,1.579788640623071e-09,3.3494632454684214e-08,8.474032227252293e-09,4.04883351416454,0.0300435399285267,146.81977989198302,64397.18205338322,3.233706635282594,66.43719102984903
sleep,3.7374557056752726e-10,2.901947795635316e-10,4.860661226524544e-10,9.885532578167936e-09,2.791097791369754e-09,3.992795928942432,0.1044892056037579,170.65773768939394,81023.87901482133,2.907634416959134,58.427877102794646
sleep,2.808764455320023e-10,1.7378381510850878e-10,2.1549743305862487e-10,5.988349591387732e-09,1.911019363095612e-09,3.990453077051648,0.1112730326504856,170.73835102397604,81626.45119646935,2.3351361007938536,29.45309353490781
sleep,3.090378858754225e-10,1.940663012606955e-10,3.1760304420070875e-10,2.9879004254054903e-09,1.2721349270501934e-09,3.999407686138877,0.0892548264307554,170.70919642857143,81301.69123508559,2.6800698751140337,44.76244455052661
rest,6.9360588400827e-10,4.677073777420405e-10,6.650605450895655e-10,1.4858768742264653e-08,3.854378329320191e-09,3.99432231344832,0.0654222817255822,169.6115177790959,81276.62903653123,1.9537307890233624,23.02796438183425
sleep,3.0871421232366175e-10,1.4618871522873842e-10,1.4620748902406782e-10,1.0310736593296003e-09,8.938695405166396e-10,4.000897232421332,0.0829788339191906,169.91508221986348,80929.36168350336,2.6816042292955737,45.10963224047064
sleep,2.4390849742170117e-10,1.0568469082604462e-10,6.253447086572247e-11,6.05315346840894e-10,8.57396297017299e-10,4.0042739405169385,0.0664678062584233,169.915476502664,80864.63449347403,2.1705061377009773,26.57228271936501
rest,7.705189987240676e-10,6.465754755224912e-10,1.069689721188059e-09,2.5428197306214545e-08,6.4831199183488084e-09,3.987679110039308,0.0538427372314643,169.23862145666834,81067.33451792032,1.9269648872570344,22.48439152557838
sleep,3.716026797317264e-10,1.6638846713990282e-10,1.6479775220694775e-10,6.242814898709666e-10,9.600633674844824e-10,3.994548034898563,0.0684164020489692,169.44843506493507,80435.82855078502,2.5878583122767216,39.523116714786966
