Subject,Run,Task,Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Spectral Entropy,Mean Coherence
8,2,sleep,3.7374557056752726e-10,2.901947795635316e-10,4.860661226524544e-10,9.885532578167936e-09,2.791097791369754e-09,3.992795928942432,0.1044892056037579
8,3,sleep,2.808764455320023e-10,1.7378381510850878e-10,2.1549743305862487e-10,5.988349591387732e-09,1.911019363095612e-09,3.990453077051648,0.1112730326504856
8,4,sleep,3.090378858754225e-10,1.940663012606955e-10,3.1760304420070875e-10,2.9879004254054903e-09,1.2721349270501934e-09,3.999407686138877,0.0892548264307554
8,2,rest,6.9360588400827e-10,4.677073777420405e-10,6.650605450895656e-10,1.4858768742264653e-08,3.854378329320191e-09,3.99432231344832,0.0654222817255822
8,5,sleep,3.0871421232366185e-10,1.4618871522873842e-10,1.4620748902406782e-10,1.0310736593296003e-09,8.938695405166398e-10,4.000897232421332,0.0829788339191906
8,6,sleep,2.4390849742170117e-10,1.0568469082604462e-10,6.253447086572247e-11,6.05315346840894e-10,8.573962970172991e-10,4.0042739405169385,0.0664678062584233
8,1,rest,7.705189987240678e-10,6.465754755224912e-10,1.069689721188059e-09,2.5428197306214545e-08,6.4831199183488084e-09,3.987679110039308,0.0538427372314643
8,7,sleep,3.716026797317264e-10,1.6638846713990282e-10,1.6479775220694775e-10,6.242814898709668e-10,9.600633674844824e-10,3.994548034898563,0.0684164020489692
8,1,sleep,4.613276244064194e-10,3.968253809170216e-10,6.421155781116148e-10,1.3801743923498404e-08,3.674435730997487e-09,3.991071910471103,0.0729209326730796
9,2,sleep,5.765380988037592e-10,3.373970152722867e-10,3.998490022205168e-10,2.573076230241539e-09,1.1144223893207634e-09,4.016468567428966,0.0420346058591265
9,2,rest,8.940110139124235e-09,9.112292809249183e-10,2.366350399057544e-10,3.9115658711743834e-10,9.386748533316702e-10,4.075970400204174,0.1076161619495666
9,5,sleep,1.0597200848052895e-09,8.42014623518009e-10,1.2792297281200407e-09,1.5283177132459243e-08,3.5508343001305394e-09,4.033322249948971,0.0565116405085004
9,1,rest,8.156455305222578e-10,1.5695705491829312e-10,1.2592672110514754e-10,3.6246130854602925e-09,1.566927204160138e-09,4.018168153026725,0.1069112524000736
9,1,sleep,1.3350701722150533e-08,1.3658216161017742e-09,3.990451063156846e-10,7.581871353346745e-10,9.470484465387772e-10,4.069968160904414,0.0703445907609144
9,3,sleep,7.26024124554861e-10,4.4622858984958956e-10,5.99530815655711e-10,5.5517703955770564e-09,1.562629048751027e-09,4.02739220828918,0.0762821070345525
9,6,sleep,1.5160438142940719e-09,1.080268394187267e-09,1.6363833479532743e-09,2.016074967002697e-08,5.136185249944368e-09,4.046444756270473,0.0650100370829712
9,4,sleep,8.803172754938423e-10,6.455831674441297e-10,9.491001904562054e-10,1.0670658980758578e-08,2.6100468092358474e-09,4.0301095583298645,0.0564650250482709
10,2,rest,5.762118036844438e-10,3.212673921410536e-10,3.32063475455715e-10,1.901133496061444e-09,8.0118185305035e-10,4.024030636413265,0.0490010762564736
10,6,sleep,1.1449406868685884e-09,7.059862147218972e-10,9.349679799512075e-10,9.645599522236104e-09,2.2105564974962347e-09,4.029555831079967,0.053154025178759
10,1,rest,5.00195715630151e-10,2.333315445161687e-10,1.7448429738623678e-10,5.615806487315743e-10,6.116312832039324e-10,4.021452865519182,0.046032989212092
10,5,sleep,8.849737721315438e-10,6.101130588009201e-10,7.929901805971031e-10,7.959930844435025e-09,1.917235083046283e-09,4.026283859048798,0.0594152524778425
10,2,sleep,7.446038490045267e-10,4.672613114893728e-10,5.648927267815889e-10,4.653283850114731e-09,1.3124134147828622e-09,4.02545667117713,0.0577160646871787
10,3,sleep,8.668034548905427e-10,5.252472710865744e-10,6.705057582125081e-10,6.112535756962757e-09,1.6251254901717416e-09,4.02718646320026,0.0756839153208099
