Subject,Run,Task,BOLD Mean,BOLD Variance,ALFF Mean,ALFF Variance
1,3,sleep,130.4297821657509,51564.942519859535,2.253614123924181,29.293882146226636
1,2,sleep,130.40595031010656,51687.178513193,2.126056054660672,26.224810885720384
1,1,rest,129.37330692744754,51522.24589629301,2.16347659730922,27.17831039083203
1,1,sleep,129.35168281718282,50925.330683914726,2.3105477197076523,31.62361190447289
1,2,rest,128.78992747877123,50463.95247917616,2.257752264897411,30.603217043067424
2,1,rest,144.65825836663336,69964.29234639744,2.106634185370784,28.036349151410835
2,2,rest,144.57929000686812,69046.17830568975,2.4389383841776566,35.10009073970167
3,2,rest,137.5613329483017,52624.702233524265,3.105339936732455,58.47975292660971
3,1,sleep,137.37537769522146,52882.67237250279,2.412796063808224,30.59800758394129
3,3,sleep,137.17470361929736,53099.66850452596,2.596112730000589,39.47376164909349
3,2,sleep,137.05112004662004,52997.627829672616,2.551112215172353,37.21627677226159
3,8,sleep,136.79809832875458,52311.95060158888,3.7229888977154073,87.1756978489066
3,7,sleep,137.01511529095905,52164.21567821493,3.222501936069788,62.01961066424199
3,4,sleep,137.19265641650017,53003.71214893755,2.4649348277984457,35.74213251208839
3,5,sleep,137.22426413170163,52912.58215209024,2.358781143709411,33.121470075156815
3,6,sleep,137.60561586330337,52506.88367918481,3.092925621073656,57.40271541574032
3,1,rest,137.54403588598902,52474.866681064166,2.569650468109021,35.44314400484391
4,7,sleep,177.57126571345322,97195.85806145384,3.0980146553520784,66.56244700577074
4,4,sleep,179.11986792374293,98781.23431551788,2.4225345583543567,41.86545837535908
4,1,rest,178.81975621253747,99460.29393122678,2.4250090338226578,45.84973716144852
4,3,sleep,179.95657617382616,99597.79815275008,2.1345835173428727,30.48740831984528
4,2,rest,178.76318241133865,99142.78835152696,2.626492289277098,54.841443510919
4,5,sleep,178.93110687229438,98485.37994675216,2.2223110524947365,28.533038655937105
4,1,sleep,179.15712966200465,99541.50563346746,2.1604710370701694,33.3586457441798
4,6,sleep,177.90866677072927,97401.69295883576,3.4125758344353843,77.37504824344866
4,2,sleep,179.33255042873793,99326.0942489153,2.139013868509799,30.80173912363711
5,6,sleep,164.21745828130204,83629.55764520248,2.5917960066041807,42.976556688636734
5,2,sleep,164.06940913253413,84374.7573355942,2.1001252776790347,27.613288213915254
5,5,sleep,164.20642576173827,83468.38712629174,2.445578667523571,48.1252541947672
5,2,rest,163.61744386863137,84088.60541906944,2.001337412773932,24.34994720080953
5,1,rest,163.35649064997503,84912.95865085175,2.240187471894552,31.822940958494616
5,4,sleep,164.10903122918748,83870.09527256194,2.544070671605415,47.05793004042635
5,3,sleep,164.10856521603395,84153.2861681289,2.357298961463819,38.13098324944376
5,1,sleep,164.01892201548452,84393.04374639454,2.2950050587219657,37.11089278626108
6,1,sleep,139.49920549242424,68282.88356028683,2.3727257472420686,43.35746359189852
6,3,sleep,139.21742786380287,68089.78462720121,3.1173100807245997,95.15025880016456
6,4,sleep,138.8437674512987,67989.00963061239,4.693664037158603,203.6222366421508
6,2,rest,139.0586672546204,67938.02626923897,2.7798635816984647,48.853794182642666
6,2,sleep,139.5524319222444,68320.48109991956,2.1912673089488046,30.962310000507525
6,1,rest,138.90235867257744,67700.13848936684,1.8276665887241683,16.049844861456904
7,2,sleep,146.11770436854812,61910.92005130753,2.64072606992458,38.88653711162094
7,4,sleep,145.1407196657509,60900.356834141625,2.68143597970099,42.13426009040931
7,2,rest,146.5930044486763,62577.809259232345,3.3655905927538474,68.28414155472943
7,1,sleep,145.71260616466867,61938.67050204052,2.644086550794665,43.4607566233062
7,5,sleep,145.50428475690975,61064.99757821064,2.371935396435904,28.32456980474944
7,1,rest,146.81977989198302,64397.18205338322,3.233706635282594,66.43719102984903
7,3,sleep,146.25907077297703,61837.91102959323,2.5332474483677005,37.45784283241814
8,1,sleep,170.56887325174824,81383.3144842888,2.367845430186131,29.621130312421915
8,7,sleep,169.44843506493507,80435.82855078502,2.5878583122767216,39.523116714786966
8,4,sleep,170.70919642857143,81301.69123508559,2.6800698751140337,44.76244455052661
8,2,rest,169.6115177790959,81276.62903653123,1.9537307890233624,23.02796438183425
8,6,sleep,169.915476502664,80864.63449347403,2.1705061377009773,26.57228271936501
8,3,sleep,170.73835102397604,81626.45119646935,2.3351361007938536,29.45309353490781
8,1,rest,169.23862145666834,81067.33451792032,1.9269648872570344,22.48439152557838
8,2,sleep,170.65773768939394,81023.87901482133,2.907634416959134,58.427877102794646
8,5,sleep,169.91508221986348,80929.36168350336,2.6816042292955737,45.10963224047064
9,6,sleep,147.1853254557942,71961.81704896671,2.4581203775970457,56.54800115969894
9,2,rest,152.94977499063435,73836.84184203717,6.3024329334988485,367.3365542063764
9,1,rest,155.86989816433567,73809.80035473134,2.772562963621271,57.4943173567345
9,5,sleep,146.19213279428905,71972.77139179716,1.8971443519556048,23.548333766587923
9,2,sleep,146.38487665459542,73158.3239414412,1.896821639393884,24.3037401505141
9,1,sleep,148.14951473526477,73388.26232202159,6.322961253578179,419.1643470656076
9,4,sleep,146.32477219655345,72449.53747907514,1.994989209609641,26.952110995729463
9,3,sleep,146.28580413336664,72783.48586857,1.930316439700536,25.544639733976755
10,1,rest,148.6327352022977,72278.21640758967,1.7677847336063923,19.24176318417798
10,6,sleep,148.43034551906428,71783.29087238309,3.706174423586951,103.89300965596529
10,5,sleep,148.8959426823177,72359.77406534799,2.451672983996417,41.17853077067461
10,4,sleep,149.13378703588077,72418.96084479534,2.292364711608118,33.817696698853574
10,2,rest,149.07894404033468,72863.20264625688,2.046664493854947,23.611924423031017
10,3,sleep,149.57367986180486,73064.14146815214,1.9641550959118916,24.56360921286761
10,1,sleep,149.3993010218948,73183.92192154963,1.9846047844601205,24.404856485132893
10,2,sleep,149.50126513070262,73244.78173630733,1.910220721506294,23.7508226203079
11,5,sleep,156.1796421911422,68189.88092234351,2.807744006642348,54.01764896585327
11,2,rest,157.42514886675824,67527.01591032601,1.755739001016816,15.276008057998707
11,3,sleep,157.02083590367965,68171.91161524295,2.151021671086612,29.611462188042037
11,1,sleep,157.4673185772561,67246.93373616219,1.7901842552020366,17.4606067266426
11,4,sleep,156.6811883429071,68098.08757477583,2.7974693372580344,51.09391013390521
11,1,rest,156.77982526848152,67132.00378810393,1.8070689367070865,19.70810376421358
11,6,sleep,156.17511060814186,68239.49462468458,3.582921156994099,86.21664596963826
11,2,sleep,157.23817405511156,67647.08347412666,2.2952297484103945,30.40780803223149
12,3,sleep,153.0533681422744,78828.8417512107,2.863115190500885,57.54470844587794
12,2,sleep,154.80060198135195,79105.2221249415,3.040541824366478,78.44033720442178
12,1,rest,155.9697569773976,77578.20428779797,2.098276376647993,26.84002614948751
12,1,sleep,154.71875052031302,79251.013364223,2.204705399793367,30.68281142132621
12,2,rest,154.37226551573426,78407.98312961221,2.045253853596525,25.242368847143094
13,3,sleep,136.55511623792873,66683.66837497515,6.533845479490412,410.18524022815546
13,1,sleep,150.06658383283383,73884.76469918997,3.920750901070658,94.27851607402654
13,1,rest,138.021847746004,68542.61128600623,2.995129319470366,54.2472070258996
13,4,sleep,135.38835824592076,66300.97399278716,5.873312665717729,277.8306866066086
13,2,sleep,136.84998489010988,66393.79852801736,3.784434888618243,125.59815382117682
13,2,rest,137.60412272102897,68095.9064675246,1.938088084923536,21.998585845134816
14,2,sleep,126.40821203796204,46649.05869616135,3.053334439775985,62.12354933347852
14,1,rest,126.22201092657345,47459.10833589867,2.9448606608566488,59.35747757084187
14,7,sleep,126.3085812937063,46684.43086033574,3.8823657100235263,91.35251043909564
14,6,sleep,125.23656471653348,46203.73890598476,3.7444467145214295,95.41293858634948
14,3,sleep,127.34840707209456,46980.18689472999,2.5727814289326063,41.19139259528
14,5,sleep,125.98914197261072,46900.82826013148,3.44971405426349,72.91882022897953
14,2,rest,125.32568302010488,46574.91232060224,3.305991838334762,65.77915943839585
14,1,sleep,125.29258072136196,46313.680768618135,3.3057871561756693,65.0539738533947
14,4,sleep,126.2699181027306,46794.35794495882,3.7400634108281303,93.54773875870798
15,2,rest,138.6398758116883,65039.95562875087,1.9340968412644668,21.426556924632013
15,3,sleep,139.37715503246753,65654.8981779494,2.371115898848729,37.26657519616083
15,1,sleep,137.68002961621713,63921.76293199483,2.466575498781688,38.87902108695648
15,4,sleep,139.97124319430569,66435.39660338679,1.978749706438439,24.0216773969501
15,1,rest,139.5548618725025,66333.28201933348,2.1367735625652418,33.28490216690468
15,6,sleep,139.26639445970696,65655.18600362646,2.2698214408312265,40.782920601534
15,5,sleep,140.11648352688977,66427.59305797199,1.994192599184747,24.17122390398796
15,2,sleep,137.83057220904095,63653.52305884429,2.139929338843633,22.990917342258523
16,1,sleep,150.37994727147853,70433.85501930637,3.3340545173353338,86.90152079684077
16,4,sleep,150.57588733141858,70391.52680348807,2.6179080884697528,41.28859630755076
16,2,sleep,150.5742935501998,71280.26201093795,2.817162069878884,51.86034719184168
16,3,sleep,150.80517119338995,71110.2585951721,2.595504265967474,42.03693925879172
16,5,sleep,150.76437819472196,70119.25098381139,2.5650239147248817,39.63276464981311
16,2,rest,150.833344389985,70762.16848372808,2.474774839410999,33.19461166242909
16,6,sleep,150.79733102314353,70038.57946466352,2.6671703694720006,40.78142951553172
16,8,sleep,149.5104806027306,69726.4680840051,2.50079724158357,36.70257151085076
16,1,rest,150.97894691246253,70751.7912877396,3.299898412207937,72.74810981667581
16,7,sleep,150.4802032654845,69840.10907739066,3.419150684905388,84.23099264938712
17,1,sleep,165.44403213453214,72788.89593280361,2.81795475266852,59.14004614367296
17,2,sleep,164.96793556443558,73139.12534593552,3.1673984045851573,71.81497240073563
17,1,rest,164.69701946491008,73712.66084073533,2.96957875694239,65.32036845659974
17,4,sleep,163.95867658383284,74218.68954667303,4.4463502358630524,152.0457800957161
17,6,sleep,162.58299799159175,74299.35058023981,3.795191591088206,112.77812584595334
17,5,sleep,164.03526366341993,73339.13579070041,5.077181996428686,189.74014569018576
